Latitude_deg,Longitude_deg,Altitude_m
0.0,0.04966800496898393,99999.2417681478
0.0,0.09926361576389707,99998.41799414554
0.0,0.1487868344187776,99997.52474312042
0.0,0.19823766307300736,99996.55809204839
0.0,0.2476161039693623,99995.51412976068
0.0,0.2969221594520685,99994.38895695237
0.0,0.3461558319648632,99993.17868618667
0.0,0.3953171240490624,99991.87944190274
0.0,0.4444060383416324,99990.48736042134
0.0,0.4934225775732691,99988.99858995248
0.0,0.5423667445664805,99987.4092906001
0.0,0.591238542233677,99985.71563437115
0.0,0.640037973575265,99983.91380517976
0.0,0.6887650416777484,99981.9999988561
0.0,0.7374197497118349,99979.97042315057
0.0,0.7860021009305461,99977.82129774173
0.0,0.8345120986673361,99975.5488542444
0.0,0.8829497463342145,99973.14933621394
0.0,0.9313150474198738,99970.61899915407
0.0,0.9796080054878252,99967.95411052345
0.0,1.0278286241745376,99965.15094974358
0.0,1.0759769071875822,99962.20580820367
0.0,1.124052858303786,99959.11498926906
0.0,1.1720564813673877,99955.87480828795
0.0,1.2199877802881989,99952.48159259767
0.0,1.267846759039774,99948.93168153125
0.0,1.3156334216575845,99945.22142642736
0.0,1.3633477722371976,99941.34719063342
0.0,1.4109898149324613,99937.30534951552
0.0,1.458559553953698,99933.09229046432
0.0,1.5060569935658978,99928.70441290317
0.0,1.5534821380869246,99924.13812829438
0.0,1.6008349918857208,99919.38986014761
0.0,1.6481155593805263,99914.45604402479
0.0,1.6953238450370933,99909.33312755218
0.0,1.742459853366915,99904.01757042296
0.0,1.7895235889254557,99898.50584440795
0.0,1.8365150563103885,99892.79443336185
0.0,1.8834342601598386,99886.87983323052
0.0,1.9302812051506308,99880.75855206046
0.0,1.9770558959965452,99874.42711000447
0.0,2.0237583374465773,99867.88203933137
0.0,2.070388534283203,99861.1198844323
0.0,2.116946491320652,99854.13720182958
0.0,2.1634322134031843,99846.93056018534
0.0,2.2098457054033753,99839.49654030707
0.0,2.256186972220402,99831.83173515904
0.0,2.302456018778343,99823.93274986884
0.0,2.3486528500244748,99815.7962017362
0.0,2.3947774709275818,99807.41872023977
0.0,2.4408298864762674,99798.79694704828
0.0,2.486810101677273,99789.92753602774
0.0,2.5327181215538026,99780.8071532487
0.0,2.578553951143852,99771.43247699854
0.0,2.6243175954985465,99761.80019778595
0.0,2.670009059680483,99751.907018353
0.0,2.7156283487620745,99741.74965368281
0.0,2.761175467823908,99731.32483100961
0.0,2.8066504219531025,99720.62928982452
0.0,2.8520532162416745,99709.65978189069
0.0,2.8973838557849074,99698.41307124705
0.0,2.942642345679733,99686.88593422063
0.0,2.9878286910231107,99675.07515943516
0.0,3.0329428969104204,99662.97754782042
0.0,3.077984968433853,99650.5899126234
0.0,3.1229549106808157,99637.90907941619
0.0,3.1678527287323357,99624.9318861072
0.0,3.2126784276614755,99611.65518295066
0.0,3.257432012531749,99598.07583255623
0.0,3.302113488395549,99584.19070990081
0.0,3.346722860292577,99569.99670233624
0.0,3.3912601332482764,99555.4907096026
0.0,3.435725312272281,99540.6696438368
0.0,3.480118402356859,99525.53042958328
0.0,3.52443940847537,99510.07000380638
0.0,3.5686883355807235,99494.28531589941
0.0,3.6128651886038483,99478.17332769558
0.0,3.6569699724521594,99461.73101348104
0.0,3.7010026920080445,99444.95536000445
0.0,3.744963352127342,99427.84336648835
0.0,3.788851957637834,99410.39204464061
0.0,3.8326685133377434,99392.59841866721
0.0,3.8764130239942345,99374.4595252825
0.0,3.9200854943419223,99355.9724137222
0.0,3.9636859290813895,99337.13414575369
0.0,4.007214332877704,99317.94179568905
0.0,4.050670710358946,99298.39245039877
0.0,4.094055066114747,99278.48320932151
0.0,4.137367404694815,99258.21118447743
0.0,4.180607730607495,99237.57350048143
0.0,4.223776048318309,99216.56729455548
0.0,4.26687236224852,99195.18971654167
0.0,4.309896676773694,99173.43792891433
0.0,4.352848996222262,99151.30910679488
0.0,4.395729324874109,99128.8004379631
0.0,4.438537666959142,99105.90912287193
0.0,4.481274026655888,99082.63237466151
0.0,4.5239384080900855,99058.96741917077
0.0,4.5665308153332775,99034.91149495379
0.0,4.609051252401431,99010.46185329114
0.0,4.651499723253539,98985.61575820763
0.0,4.693876231790242,98960.37048648275
0.0,4.736180781852452,98934.72332766769
0.0,4.778413377219992,98908.67158409953
0.0,4.820574021610221,98882.212570915
0.0,4.862662718676685,98855.34361606673
0.0,4.904679472007766,98828.06206033845
0.0,4.946624285125341,98800.36525735748
0.0,4.9884971614834335,98772.25057361485
0.0,5.030298104466898,98743.71538847685
0.0,5.072027117390085,98714.75709420256
0.0,5.11368420349552,98685.37309595896
0.0,5.1552693659526065,98655.56081183907
0.0,5.196782607856301,98625.31767287524
0.0,5.238223932225822,98594.64112305804
0.0,5.279593342003365,98563.5286193511
0.0,5.320890840052805,98531.97763170977
0.0,5.362116429158415,98499.98564309627
0.0,5.403270112023602,98467.55014949711
0.0,5.444351891269633,98434.66865994269
0.0,5.485361769434378,98401.3386965217
0.0,5.526299748971045,98367.55779440026
0.0,5.567165832246951,98333.32350184
0.0,5.607960021542266,98298.63338021538
0.0,5.648682319048776,98263.48500403296
0.0,5.689332726868671,98227.87596094981
0.0,5.729911247013308,98191.8038517898
