Latitude_deg,Longitude_deg,Altitude_m,Time,X_Inertial,Y_Inertial,Z_Inertial,VX_Inertial,VY_Inertial,VZ_Inertial,Altitude_m,X_Accel,Y_Accel,Z_Accel,Thrust_Mag,Thrust_Dir_x,Thrust_Dir_Y,Thrust_Dir_Z,Thrust_Mag_N,Thrust_Dir_x_N,Thrust_Dir_Y_N,Thrust_Dir_Z_N,Phase
0.00018704262955192828,16.600328090075504,31674.56590388692,556.0,1694591.3778062987,507922.12194314203,5.775161128647509,-301.95190313922086,216.45326367224843,0.039061026942416165,31901.682906483766,0.9130251996699983,-2.1932367215768083,0.002936096256732855,5951.711331192436,0.8107926533544688,-0.5853334592858975,-9.670921147435589e-05,5955.672959472606,0.8106449309012725,-0.5855354967258763,0.000987688874766628,1.0
0.00018840841728563794,16.609623457753226,31447.743776166346,557.0,1694290.3386881435,508136.3880457865,5.816585561026255,-301.03911815517995,214.26610264444955,0.04142443237874552,31674.565903887153,0.912784984040911,-2.1871610277988713,0.0023634054363293505,5957.068096412737,0.8127477856682115,-0.5826156713083049,-0.00010513847676839319,5948.252986460519,0.8116798296473947,-0.5841003494750638,0.0007963755771933432,1.0
0.00018968956314447058,16.61884376769176,31221.254419430392,558.0,1693990.259658954,508348.44519331754,5.855387534113789,-300.07902918931245,212.05714753107858,0.03880197308753459,31447.74377616658,0.960088965867516,-2.2089551133709557,-0.0026224592912109327,5962.446640371838,0.8147074839390244,-0.579872139038408,-0.00011210767319446223,6050.621168047106,0.8136861328304478,-0.581302098815467,-0.0008651357509625692,1.0
0.00019094317648102264,16.62798983980946,30995.09916651179,559.0,1693691.1355237474,508558.31933976355,5.893330719596953,-299.1241352067929,209.87414644599005,0.03794318548316431,31221.254419430392,0.954893982519559,-2.1830010850885335,-0.0008587876043702759,5967.828376502332,0.8166643065293956,-0.5771129818732363,-0.00010559947000998997,6012.1915742664405,0.8172624418339836,-0.5762638474399175,-0.00028395511503273737,1.0
0.0001922395736174041,16.637062428691074,30769.2675810277,560.0,1693392.9503753686,508766.03110057994,5.93258541852851,-298.18514837882714,207.71176081640144,0.039254698931556795,30995.099166512024,0.9389868279657532,-2.16238562958862,0.00131151344839248,5973.179989948317,0.8186049725459027,-0.5743569296765088,-0.00010383809480728404,5962.548055798798,0.8188355010703435,-0.5740263295200521,0.00044167037660433037,1.0
0.00019363140081194872,16.646061503324173,30543.773613062454,561.0,1693095.7186219527,508971.58487042447,5.974775670215718,-297.2317534158331,205.55376984454165,0.04219025168720803,30769.2675810277,0.9533949629940062,-2.1579909718597925,0.002935552755651236,5978.542049603676,0.8205456156564079,-0.5715810313987881,-0.00010802104423148503,5981.251238326738,0.8211968140276661,-0.5706424679127534,0.0009833449374733495,1.0
0.000195127736037151,16.65498736386139,30318.614033677382,562.0,1692799.435267275,509174.9898843205,6.020180439777368,-296.28335467776105,203.40501389602142,0.04540476956165046,30543.773613062454,0.9483987380720293,-2.148755948520239,0.0032145178744424283,5983.898033831715,0.8224796498184131,-0.5687945204295508,-0.00011674601732372353,5962.620959939477,0.8221911744926469,-0.5692086653787506,0.0010800019540993058,1.0
0.0001967097315809986,16.663839874411877,30093.8043693481,563.0,1692504.1171394223,509376.24788884,6.0682171493714145,-295.31812785272393,201.2580045195198,0.048036709594046094,30318.614033677382,0.9652268250371288,-2.1470093765016145,0.0026319400323956315,5989.276042906626,0.8244181759411473,-0.5659811389533606,-0.00012634026417635157,5988.457016721303,0.8243681086094106,-0.5660516283833291,0.0008807897054595478,1.0
0.00019817421677184225,16.6726194815625,29869.347043460468,564.0,1692209.7633303816,509575.3740629433,6.112618095972624,-294.3538090407061,199.12617410329008,0.04440094660120961,30093.8043693481,0.9643188120178232,-2.1318304162297186,-0.0036357629928364865,5994.651403566285,0.8263513848595492,-0.5631548322415,-0.0001344150519501197,5969.945414407489,0.8267244016783082,-0.5626040211258748,-0.001216216369442788,1.0
0.0001997025380663833,16.68132659227973,29645.238542013103,565.0,1691916.3675848795,509772.3806901014,6.158977537493307,-293.39574550209977,197.00662715814053,0.04635944152068292,29869.347043460468,0.9580635386063316,-2.119546945149543,0.0019584949194733172,6000.019801552288,0.8282775541364871,-0.5603180097731334,-0.00012493912537448726,5945.9166200003865,0.8280660509476908,-0.5606283807246101,0.0006605968024578111,1.0
0.00020117166776396212,16.689959070610122,29421.549343069782,566.0,1691624.017111091,509967.22631704295,6.203501213222281,-292.3504737886457,194.8456269415347,0.04452367572897355,29645.238542013103,1.045271713454073,-2.161000216605819,-0.0018357657917093737,6005.402314163404,0.8302049601525656,-0.5574582506972477,-0.00013118062852107143,6137.024600204072,0.8308017602817634,-0.5565663305735361,-0.0005964749363486643,1.0
0.00020249074180261206,16.698518795665702,29198.23968194495,567.0,1691332.6578296432,510159.9562561546,6.243388100478902,-291.35928144769457,192.72993911160142,0.039886887256620915,29421.549343069782,0.9911923409511287,-2.115687829933275,-0.0046367884723526286,6010.769722829952,0.8321221223072477,-0.5545924195426193,-0.0001267284949478063,5996.887406998316,0.8322842257932372,-0.5543451834492835,-0.0015445584919008034,1.0
0.0002039068643007878,16.707006286762073,28975.298564007273,568.0,1691042.2752898992,510350.5839321915,6.286257929793161,-290.38253974403517,190.62767603687905,0.04286982931425884,29198.23968194495,0.9767417036593933,-2.1022630747223667,0.0029829420576379267,6016.148408012817,0.8340393540394752,-0.551704936674772,-0.00011417941970772496,5958.087034185285,0.8329579937909435,-0.5533335100469523,0.001003173134400019,1.0
0.00020519842773757366,16.71542120453203,28752.748017987236,569.0,1690752.8942932696,510539.106955001,6.325278582764757,-289.38099662965,188.5230228095353,0.03902065297159677,28975.29856400704,1.0015431143851812,-2.104653227343761,-0.003849176342662065,6021.555268748797,0.8359632007888976,-0.5487854826230538,-0.00012341513288785015,6002.241499343521,0.8351982818239521,-0.5499456271869363,-0.001280715453267544,1.0
